Name,Quantity,Unit,Compound,Formula,Quantity,Unit,Molecular_weight,Concentration,Unit,Ontology
Yeast Extract,5,g,alanine,C3H7NO2,5.6,%,89.0932,3.14E+00,mmol/L,Amino acids
Yeast Extract,5,g,aspartic acid,C4H7NO4,5.3,%,133.1030,1.99E+00,mmol/L,Amino acids
Yeast Extract,5,g,glutamic acid,C5H9NO4,9.4,%,147.1300,3.20E+00,mmol/L,Amino acids
Yeast Extract,5,g,glycine,C2H5NO2,3,%,75.0670,2.00E+00,mmol/L,Amino acids
Yeast Extract,5,g,histidine,C6H9NO2,1.3,%,155.1570,4.19E-01,mmol/L,Amino acids
Yeast Extract,5,g,isoleucine,C6H13NO2,3,%,131.1750,1.15E+00,mmol/L,Amino acids
Yeast Extract,5,g,leucine,C6H13NO3,4.1,%,131.1750,1.56E+00,mmol/L,Amino acids
Yeast Extract,5,g,lysine,C6H14N2O2,4.6,%,146.1900,1.58E+00,mmol/L,Amino acids
Yeast Extract,5,g,methionine,C5H11NO2S,0.8,%,149.2100,2.68E-01,mmol/L,Amino acids
Yeast Extract,5,g,phenylalanine,C9H11NO2,2.6,%,165.1920,7.88E-01,mmol/L,Amino acids
Yeast Extract,5,g,proline,C5H9NO2,2,%,115.1320,8.70E-01,mmol/L,Amino acids
Yeast Extract,5,g,serine,C3H7NO3,1.6,%,105.0930,7.62E-01,mmol/L,Amino acids
Yeast Extract,5,g,threonine,C4H9NO3,1.6,%,119.1200,6.72E-01,mmol/L,Amino acids
Yeast Extract,5,g,tyrosine,C9H11NO3,1.2,%,181.1910,3.31E-01,mmol/L,Amino acids
Yeast Extract,5,g,valine,C5H11NO2,3.5,%,117.1480,1.50E+00,mmol/L,Amino acids
Yeast Extract,5,g,arginine,C6H14N4O2,2.6,%,174.2011,7.47E-01,mmol/L,Amino acids
Yeast Extract,5,g,adenine,C5H5N5,884,mg/100g,135.1500,3.27E-01,mmol/L,Nucleotides
Yeast Extract,5,g,guanine,C5H5N5O,925,mg/100g,151.1300,3.06E-01,mmol/L,Nucleotides
Yeast Extract,5,g,cytosine,C4H5N3O,436,mg/100g,111.1000,1.96E-01,mmol/L,Nucleotides
Yeast Extract,5,g,uracil,C4H4N2O2,631,mg/100g,112.0900,2.81E-01,mmol/L,Nucleotides
Yeast Extract,5,g,mannose,C6H12O6,4.58,%,180.1560,1.27E+00,mmol/L,Sugars
starch,0.05,g,starch,C12H22O11,100,%,342.2970,1.46E-01,mmol/L,Sugars
casein hydrolysate/casamino acids,10,g,alanine,C3H7NO2,3,%,89.0932,3.37E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,arginine,C6H14N4O2,2.5,%,174.2011,1.44E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,aspartic acid,C4H7NO4,2.4,%,133.1030,1.80E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,glutamic acid,C5H9NO4,15.9,%,147.1300,1.08E+01,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,glycine,C2H5NO2,1.4,%,75.0670,1.87E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,histidine,C6H9NO2,0.8,%,155.1570,5.16E-01,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,isoleucine,C6H13NO2,4,%,131.1750,3.05E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,leucine,C6H13NO3,5,%,131.1750,3.81E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,lysine,C6H14N2O2,5.2,%,146.1900,3.56E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,methionine,C5H11NO2S,1.4,%,149.2100,9.38E-01,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,phenylalanine,C9H11NO2,3.6,%,165.1920,2.18E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,proline,C5H9NO2,8,%,115.1320,6.95E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,serine,C3H7NO3,2.1,%,105.0930,2.00E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,threonine,C4H9NO3,1.5,%,119.1200,1.26E+00,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,tyrosine,C9H11NO3,0.4,%,181.1910,2.21E-01,mmol/L,Amino acids
casein hydrolysate/casamino acids,10,g,valine,C5H11NO2,5.6,%,117.1480,4.78E+00,mmol/L,Amino acids
