Formula,Compound,Ontology,Molecular_weight,Concentration_sum
C6H12O6,glucose,Sugars,180.16,0.277537245
C3H7NO2,alanine,Amino acids,89.09,0.081936375
C6H14N4O2,arginine,Amino acids,174.2,0.028128283
C4H7NO4,aspartic acid,Amino acids,133.1,0.030427562999999998
C5H9NO4,glutamic acid,Amino acids,147.13,0.11452457099999999
C2H5NO2,glycine,Amino acids,75.07,0.083925027
C6H9NO2,histidine,Amino acids,155.16,0.010956644
C6H13NO2,isoleucine,Amino acids,131.18,0.03926053
C6H13NO3,leucine,Amino acids,131.18,0.056413189
C6H14N2O2,lysine,Amino acids,146.19,0.047882891999999996
C5H11NO2S,methionine,Amino acids,149.21,0.012063571
C9H11NO2,phenylalanine,Amino acids,165.19,0.029662452
C5H9NO2,proline,Amino acids,115.13,0.063405483
C3H7NO3,serine,Amino acids,105.09,0.02569153
C4H9NO3,threonine,Amino acids,119.12,0.019308261
C9H11NO3,tyrosine,Amino acids,181.19,0.009382364999999998
C5H11NO2,valine,Amino acids,117.15,0.054631749
C5H5N5,adenine,Nucleotides,135.15,0.00327
C5H5N5O,guanine,Nucleotides,151.13,0.00306
C4H5N3O,cytosine,Nucleotides,111.1,0.00196
C4H4N2O2,uracil,Nucleotides,112.09,0.00281
C6H12O6,mannose,Sugars,180.16,0.012711206
C12H22O11,starch,Sugars,342.3,0.146071978
