Formula,Compound,Ontology,Molecular_weight,Concentration_sum
C3H7NO2,alanine,Amino acids,89.0932,6.51
C4H7NO4,aspartic acid,Amino acids,133.103,3.79
C5H9NO4,glutamic acid,Amino acids,147.13,14.0
C2H5NO2,glycine,Amino acids,75.067,3.87
C6H9NO2,histidine,Amino acids,155.157,0.935
C6H13NO2,isoleucine,Amino acids,131.175,4.199999999999999
C6H13NO3,leucine,Amino acids,131.175,5.37
C6H14N2O2,lysine,Amino acids,146.19,5.140000000000001
C5H11NO2S,methionine,Amino acids,149.21,1.206
C9H11NO2,phenylalanine,Amino acids,165.192,2.968
C5H9NO2,proline,Amino acids,115.132,7.82
C3H7NO3,serine,Amino acids,105.093,2.762
C4H9NO3,threonine,Amino acids,119.12,1.932
C9H11NO3,tyrosine,Amino acids,181.191,0.552
C5H11NO2,valine,Amino acids,117.148,6.28
C6H14N4O2,arginine,Amino acids,174.2011,2.187
C5H5N5,adenine,Nucleotides,135.15,0.327
C5H5N5O,guanine,Nucleotides,151.13,0.306
C4H5N3O,cytosine,Nucleotides,111.1,0.196
C4H4N2O2,uracil,Nucleotides,112.09,0.281
C6H12O6,mannose,Sugars,180.156,1.27
C12H22O11,starch,Sugars,342.297,0.146
