monomer,ontology,eta,lambda
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
2-aminoisobutyric acid ,Amino acids,0.0,0.2112425903394987
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
"2,3-Dihydroxybenzoic acid",Organic acids,0.0,0.1370029737135185
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
3-Dehydroshikimic acid,Organic acids,0.0,0.13700297371351847
