isolate,BGE,rgrowth,rrn,NSB,Vmax
Acidobacteriaceae bacterium URHE0068,,0.010683088,3,1.79E-10,0.001741422
Bacillus sp. URHB0009,0.401534047,0.043800722,20,1.22E-08,0.119061648
Blastococcus sp. URHD0036,0.304075473,0.005185444,8,7.97E-10,0.007742178
Bradyrhizobium sp. URHA0002,0.710141157,0.022440641,3,3.35E-09,0.032536602
Bradyrhizobium sp. URHA0013,0.703528106,0.020362686,3,2.99E-09,0.029032431
Bradyrhizobium sp. URHD0069,0.709620746,0.021943093,3,3.26E-09,0.031734007
Burkholderia sp. URHA0054,0.496478333,0.02315983,10,4.69E-09,0.045617047
Caulobacter sp. URHA0033,0.719501335,0.03177056,3,4.80E-09,0.046610446
Cellulomonas sp. URHD0024,,0.009418105,8,4.84E-10,0.004699874
Cellulomonas sp. URHE0023,,0.005487464,5,2.86E-10,0.002775671
Comamonadaceae bacterium URHA0028,0.643546183,0.036647411,5,6.73E-09,0.065397818
Dongia sp. URHE0060,0.417892489,0.009879794,3,5.10E-10,0.004955526
Flavobacterium sp. URHB0058,0.56043549,0.040003663,8,8.38E-09,0.081426379
Geodermatophilaceae bacterium URHA0031,0.499085112,0.015772526,9,3.02E-09,0.02935233
Geodermatophilaceae bacterium URHB0048,0.452414023,0.006462926,7,1.13E-09,0.011010977
Geodermatophilaceae bacterium URHB0062,0.503601082,0.017833725,9,3.41E-09,0.033163941
Intrasporangiaceae bacterium URHB0013,0.578769454,0.019402604,6,3.33E-09,0.032341233
Lysobacter sp. URHA0019,0.624280338,0.021250625,5,3.62E-09,0.035148988
Marmoricola sp. URHB0036,0.569814248,0.005529692,3,7.38E-10,0.007177032
Mesorhizobium sp. URHA0056,0.522993791,0.00570562,4,8.53E-10,0.008289365
Mesorhizobium sp. URHB0007,0.415489298,0.009398318,4,6.11E-10,0.005942915
Mesorhizobium sp. URHC0008,,0.006333197,3,2.37E-10,0.002304644
Microbacterium sp. URHA0036,0.560352337,0.015192002,6,2.57E-09,0.024937072
Micromonosporaceae bacterium URHE0070,,0.008112516,10,4.29E-10,0.004166696
Mycobacterium sp. URHB0044,0.475787682,0.00952785,8,1.78E-09,0.01732359
Mycobacterium sp. URHD0025,0.505793354,0.00972821,7,1.73E-09,0.016783855
Nocardioides sp. URHA0020,0.401528622,0.00776452,12,1.62E-09,0.015768205
Nocardioides sp. URHA0032,,0.005967899,5,2.34E-10,0.002276292
Paenibacillus sp. URHA0014,0.329097121,0.016281926,23,4.45E-09,0.043281737
Pseudomonas sp. URHB0015,0.567081145,0.073662378,8,1.62E-08,0.157921926
Rhodospirillales bacterium URHD0017,0.706833538,0.027287111,3,4.19E-09,0.040768026
Rhodospirillales bacterium URHD0088,0.421273567,0.006581675,9,1.27E-09,0.012297192
Solirubrobacter sp. URHD0082,,0.01366126,3,3.13E-10,0.00304181
Solirubrobacterales bacterium URHD0059,,0.008541958,3,2.20E-10,0.002140016
Sphingomonas sp. URHD0007,0.682179184,0.0109815,3,1.56E-09,0.015164688
Sphingomonas sp. URHD0057,0.716897578,0.02226689,3,3.35E-09,0.032543664
Staphylococcus sp. URHA0057,0.491934288,0.088685551,13,2.49E-08,0.242300694
Streptomyces sp. URHA0041,0.262339891,0.005120094,14,1.13E-09,0.010992951
Variovorax sp. URHB0020,0.487854062,0.027081866,12,6.17E-09,0.059943653
