isolate	BGE	rgrowth	rrn	NSB	Vmax
Acidobacteriaceae bacterium URHE0068		0.0106835893600699	3	9.74697297203363e-10	0.002526415394351117
Bacillus sp. URHB0009	0.2736765173522667	0.0438812917652929	20	6.664040313617125e-08	0.1727319249289559
Blastococcus sp. URHD0036	0.1763631827910218	0.0051863288860954	8	4.3334011938180544e-09	0.011232175894376396
Bradyrhizobium sp. URHA0002	0.4761372454536424	0.0227182745139834	3	1.821117292489257e-08	0.04720336022132154
Bradyrhizobium sp. URHA0013	0.4699280401407126	0.0204128579241728	3	1.6249841501608142e-08	0.042119589172168306
Bradyrhizobium sp. URHD0069	0.4752432217135098	0.022112252618146	3	1.7761950019982517e-08	0.04603897445179469
Burkholderia sp. URHA0054	0.3345038315549341	0.023374574372383	10	2.5532473492468163e-08	0.06618017129247748
Caulobacter sp. URHA0033	0.4848177296947573	0.0315607943413262	3	2.608849223385715e-08	0.06762137187015774
Cellulomonas sp. URHD0024		0.0094212267140662	8	2.6305823217333882e-09	0.0068184693779329425
Cellulomonas sp. URHE0023		0.0054885745276726	5	1.5535801687851007e-09	0.004026879797490981
Comamonadaceae bacterium URHA0028	0.4374500072576822	0.0365278805932987	5	3.660403672978505e-08	0.09487766320360286
Dongia sp. URHE0060	0.214729564655868	0.0098805208113598	3	2.773674555792332e-09	0.0071893644486137245
Flavobacterium sp. URHB0058	0.381291296396091	0.039985720234215	8	4.557543778200436e-08	0.1181315347309553
Geodermatophilaceae bacterium URHA0031	0.3321283872299897	0.0157983997558711	9	1.6428892946755823e-08	0.042583690517991095
Geodermatophilaceae bacterium URHB0048	0.2820206300716127	0.0064547496736056	7	6.1629918206857475e-09	0.01597447479921746
Geodermatophilaceae bacterium URHB0062	0.3360787098693689	0.0178426660749259	9	1.8562303050013446e-08	0.04811348950563485
Intrasporangiaceae bacterium URHB0013	0.3858523883560656	0.0194213212609121	6	1.8101822168619466e-08	0.04691992306106166
Lysobacter sp. URHA0019	0.4193120880476056	0.0211703981560003	5	1.967336039609453e-08	0.05099335014667702
Marmoricola sp. URHB0036	0.3291245540169809	0.0055304913729492	3	4.017080907145976e-09	0.010412273711322369
Mesorhizobium sp. URHA0056	0.3138160576069945	0.0056366321129277	4	4.639668867809926e-09	0.012026021705363328
Mesorhizobium sp. URHB0007	0.2289679899356718	0.0053277360122492	4	3.326329270957171e-09	0.008621845470320988
Mesorhizobium sp. URHC0008		0.0063337160683698	3	1.289939992671343e-09	0.003343524461004121
Microbacterium sp. URHA0036	0.3685061216769683	0.0151769556564325	6	1.3957613880243078e-08	0.03617813517759006
Micromonosporaceae bacterium URHE0070		0.0081162088076945	10	2.3321558293470863e-09	0.006044947909667648
Mycobacterium sp. URHB0044	0.3098884368206219	0.0095223060846226	8	9.696245991633796e-09	0.0251326696103148
Mycobacterium sp. URHD0025	0.3283749212587471	0.0097243332671476	7	9.394148947440788e-09	0.024349634071766522
Nocardioides sp. URHA0020	0.2605818385633831	0.0077641442528662	12	8.825676158308918e-09	0.022876152602336716
Nocardioides sp. URHA0032		0.0059683375595754	5	1.2740714247049908e-09	0.003302393132835336
Paenibacillus sp. URHA0014	0.2201446765092705	0.0162660293585838	23	2.4225369435384536e-08	0.06279215757651671
Pseudomonas sp. URHB0015	0.3869195526642416	0.0763004127231371	8	8.839102248233878e-08	0.22910953027422212
Rhodospirillales bacterium URHD0017	0.4766015247305075	0.0270660533312849	3	2.2818411719299454e-08	0.05914532317642419
Rhodospirillales bacterium URHD0088	0.2682805659748341	0.006572897760225	9	6.882903504363265e-09	0.017840485883309585
Solirubrobacter sp. URHD0082		0.0136618092384679	3	1.702541790967939e-09	0.004412988322188898
Solirubrobacterales bacterium URHD0059		0.0085429592749471	3	1.197795809697931e-09	0.0031046867387370374
Sphingomonas sp. URHD0007	0.4412455168257291	0.010982847975436	3	8.487879427512713e-09	0.022000583476112952
Sphingomonas sp. URHD0057	0.4807703223852653	0.0219252232353436	3	1.821512589404708e-08	0.04721360631737003
Staphylococcus sp. URHA0057	0.3364086646194755	0.0754382359624751	13	1.356189517424517e-07	0.3515243229164348
Streptomyces sp. URHA0041	0.1637232398486655	0.0051191385262958	14	6.15290220934131e-09	0.015948322526612674
Variovorax sp. URHB0020	0.3312604654244585	0.0269000853641128	12	3.35512673888874e-08	0.08696488507199614
