isolate	BGE	rgrowth	rrn	NSB	Vmax
Acidobacteriaceae bacterium URHE0068	0.6196987479721134	0.0227226981831481	3	9.666571977943832e-09	0.037583631850245616
Bacillus sp. URHB0009	0.3935519739880841	0.1130046559644269	20	1.441075384345216e-07	0.5602901094334201
Blastococcus sp. URHD0036	0.4960591895677541	0.0490391968182558	8	2.9405013104231227e-08	0.11432669094925102
Bradyrhizobium sp. URHA0002	0.5875536173338949	0.0129021568690667	3	5.280980203597425e-09	0.02053245103158679
Bradyrhizobium sp. URHA0013	0.6125107714173446	0.0206578421332689	3	8.612492060019116e-09	0.03348536912935432
Bradyrhizobium sp. URHD0069	0.6046349818157418	0.0168797610812076	3	6.904145836605059e-09	0.026843319012720475
Burkholderia sp. URHA0054	0.485952123848033	0.0928678068967342	10	8.144458151079541e-08	0.31665653291397255
Caulobacter sp. URHA0033	0.6444463623964835	0.0624832848534948	3	3.1125766065160195e-08	0.12101697846134282
Cellulomonas sp. URHD0024	0.5203366687167518	0.1039556611769389	8	8.375887944223713e-08	0.325654523271418
Cellulomonas sp. URHE0023	0.5820157609110342	0.0840724906041714	5	5.433223843829651e-08	0.21124374304809684
Comamonadaceae bacterium URHA0028	0.5019433376821157	0.0104451362143825	5	4.776591676030097e-09	0.018571388436405017
Dongia sp. URHE0060	0.6439310439343402	0.0482216313083099	3	2.2842859252060597e-08	0.0888130367720116
Flavobacterium sp. URHB0058	0.5051355775494828	0.0611891220806714	8	4.282057359153025e-08	0.16648639012386962
Geodermatophilaceae bacterium URHA0031	0.49035622272744	0.0685600290805145	9	5.0380827559169046e-08	0.19588065755004927
Geodermatophilaceae bacterium URHB0048	0.5198964314217844	0.0523708933227096	7	3.1365002998175525e-08	0.12194713165690643
Geodermatophilaceae bacterium URHB0062	0.499375025550291	0.0929882594618221	9	7.612821283720377e-08	0.2959864915110483
Intrasporangiaceae bacterium URHB0013	0.552164128661738	0.085189041452835	6	5.669211648752223e-08	0.22041894890348643
Lysobacter sp. URHA0019	0.5440959269427563	0.0212328295676393	5	1.026898865840769e-08	0.0399258279038891
Marmoricola sp. URHB0036	0.6490079086991376	0.0641125112424896	3	3.4247946034599495e-08	0.13315601418252285
Mesorhizobium sp. URHA0056	0.605763781451927	0.0590788988325573	4	3.1855826003917595e-08	0.1238554515032316
Mesorhizobium sp. URHB0007	0.6055772462790187	0.0552704720979971	4	3.0673898681650566e-08	0.1192601180742574
Mesorhizobium sp. URHC0008	0.6466821064562986	0.0595190479468144	3	3.01645359097593e-08	0.11727971561714415
Microbacterium sp. URHA0036	0.5603911646671031	0.1162957373200161	6	8.621193734549059e-08	0.33519201239926744
Micromonosporaceae bacterium URHE0070	0.4748084741358624	0.0550314146933201	10	4.5649703353345614e-08	0.17748604663780773
Mycobacterium sp. URHB0044	0.4917880196150831	0.0408047762667492	8	2.3465523214862963e-08	0.0912339542593872
Mycobacterium sp. URHD0025	0.5055499047398728	0.0336905244393381	7	1.7979516083314668e-08	0.06990435853192743
Nocardioides sp. URHA0020	0.4387829317075364	0.0389320943527929	12	2.68728611446368e-08	0.10448168413034789
Nocardioides sp. URHA0032	0.5641534535991966	0.0397872878222739	5	2.1281041565863478e-08	0.08274068960807719
Paenibacillus sp. URHA0014	0.4188585919848969	0.1209958527952974	23	3.709205990449141e-07	1.4421392890866263
Pseudomonas sp. URHB0015	0.5069838172034858	0.1037112389411848	8	6.920676405310904e-08	0.26907589863848796
Rhodospirillales bacterium URHD0017	0.5570377418234105	0.0115641725095508	3	4.91417380383954e-09	0.019106307749328134
Rhodospirillales bacterium URHD0088	0.4362468461794238	0.0145038467385044	9	7.955261598880596e-09	0.030930057096447756
Solirubrobacter sp. URHD0082	0.6432774154245434	0.045361440841276	3	2.310575985686848e-08	0.08983519432350465
Solirubrobacterales bacterium URHD0059	0.6489868484046237	0.0638419206796679	3	3.3449197114363726e-08	0.13005047838064615
Sphingomonas sp. URHD0007	0.6458518602026057	0.0493868908264523	3	2.4367502399742383e-08	0.09474084933019838
Sphingomonas sp. URHD0057	0.6309750705003081	0.0268100094656444	3	1.1884784643512798e-08	0.04620804269397776
Staphylococcus sp. URHA0057	0.4643918982306914	0.179032855938494	13	1.8877228892526065e-07	0.7339466593414135
Streptomyces sp. URHA0041	0.4253613883464026	0.0622340572014235	14	4.9780681431357764e-08	0.193547289405119
Variovorax sp. URHB0020	0.3872842767097098	0.0126238671519791	12	7.597507890014333e-09	0.029539110676375727
